word1,word2,word3,n,unique_ids
station,code,date,9,3
al,2005,units,8,1
analysis,system,ghaas,8,2
ble,lter's,research,8,7
code,ble,lter,8,7
collected,yyyy,mm,8,7
core,program,sampling,8,7
date,collected,yyyy,8,7
degree,day,index,8,1
global,hydrologic,archive,8,2
located,ble,lter,8,7
lter's,research,program,8,7
modified,degree,day,8,1
program,sampling,season,8,7
program,station,sampling,8,7
research,program,lagoon,8,7
sampling,season,date,8,7
station,code,ble,8,7
station,sampling,priority,8,7
surface,ablation,rate,8,1
002,64,temperature,7,7
64,temperature,light,7,7
floating,ice,regime,7,1
hobo,pendant,ua,7,7
light,64k,logger,7,7
onset,hobo,pendant,7,7
pendant,ua,002,7,7
season,date,collected,7,6
temperature,light,64k,7,7
ua,002,64,7,7
unknown,attribute,definition,7,1
0,1,taxonomic,6,1
01,data,report,6,1
1,standard,deviation,6,2
1,standard,error,6,4
16,01,data,6,1
1984,wgs84,datum,6,1
active,layer,transient,6,3
agc,16,01,6,1
correct,taxonomic,assignment,6,1
date,yyyy,mm,6,2
depth,database,compiled,6,1
dry,soil,total,6,1
frozen,soil,layer,6,3
geodetic,system,1984,6,1
gravimetric,moisture,content,6,1
horsetails,algae,cover,6,1
layer,transient,layer,6,3
massive,ice,bodies,6,3
massive,ice,body,6,2
quality,control,notes,6,1
survey,instruments,coordinates,6,1
system,1984,wgs84,6,1
world,geodetic,system,6,1
0,200m,aerosol,5,1
0,200m,bro,5,1
0,4km,aerosol,5,1
0,4km,bro,5,1
1,acetylene,mixing,5,1
1,approximate,error,5,1
1,taxonomic,assignment,5,1
10,12,molecule,5,1
12,molecule,cm,5,1
18,00,00,5,1
18,30,00,5,1
18,59,59,5,1
1950,gas,age,5,1
1980,table,6,5,2
200m,2km,bro,5,1
200m,aerosol,retrieval,5,1
200m,bro,retrieval,5,1
200m,bro_vcd_200,bro_ltvcd,5,1
2km,bro,retrieval,5,1
30,00,utc,5,1
4km,aerosol,retrieval,5,1
4km,bro,retrieval,5,1
59,59,utc,5,1
59,utc,buoy,5,1
aer_dof200,0.65,nan,5,1
aerosol,retrieval,valid,5,1
aot361nm,5,nan,5,1
average,mixing,ratio,5,1
background,subtracted,uncalibrated,5,1
bro,layer,valid,5,1
bro,retrieval,lofted,5,1
bro,retrieval,valid,5,1
bro_dof200,0.7,nan,5,1
bro_dofaloft,0.5,nan,5,1
bro_dofs_fine,1.4,nan,5,1
bro_ltvcd,approximate,error,5,1
bro_vcd_200,bro_ltvcd,approximate,5,1
bromine,monoxide,average,5,1
ce,estimated,error,5,1
ce,ethane,mixing,5,1
cm,2,representing,5,1
coarse,layer,200m,5,1
core,site,top,5,1
data,aerosol,optical,5,1
data,analysis,e.g,5,1
data,line,labeled,5,1
deviation,mixing,ratio,5,1
disturbed,vegetation,types,5,1
dofs_fine,1.5,nan,5,1
era,ce,estimated,5,1
era,ce,ethane,5,1
estimated,solubility,depletion,5,1
extinction,0,200m,5,1
freedom,coarse,layer,5,1
ground,level,approximate,5,1
hour's,data,aerosol,5,1
hourly,data,analysis,5,1
human,disturbance,type,5,2
intermediate,layer,based,5,2
iodine,water,cluster,5,1
km,1,approximate,5,1
labeled,18,30,5,1
layer,200m,2km,5,1
layer,valid,flag,5,1
level,approximate,error,5,1
line,labeled,18,5,1
lofted,bro,layer,5,1
lowest,200m,approximate,5,1
lowest,200m,bro_vcd_200,5,1
massive,ice,type,5,2
mixing,ratio,1,5,1
mm,ddthh:mm,hh,5,2
mol,1,acetylene,5,1
mol,1,uncertainty,5,1
mol,ice,core,5,1
molecule,cm,2,5,1
monoxide,average,mixing,5,1
north,buoy,longitude,5,1
percent,rock,cover,5,1
picomol,mol,ice,5,1
prior,quantity,extinction,5,1
prior,quantity,total,5,1
quantity,raw,bromine,5,1
quantity,total,degrees,5,1
ratio,1,standard,5,1
raw,bromine,monoxide,5,1
readme,surface,0,5,1
reported,acetylene,mixing,5,1
retrieval,lofted,bro,5,1
site,top,depth,5,1
solubility,depletion,occurring,5,1
standard,deviation,mixing,5,1
standard,deviation,uncertainty,5,1
subtracted,uncalibrated,cims,5,1
surface,0,200m,5,1
sy14,average,percent,5,1
uncalibrated,cims,signal,5,1
utc,buoy,latitude,5,1
vegetation,type,based,5,2
webber,1980,table,5,2
wet,extraction,method,5,1
yyyy,mm,ddthh:mm,5,2
1,northern,hemisphere,4,2
3408,basin,id,4,2
3408,month,yyyy,4,2
additional,notes,observations,4,1
borehole,depth,top,4,1
coast,coordinates,based,4,2
code,glacial,geology,4,2
coordinate,decimal,degrees,4,1
coordinate,degree,minute,4,1
dead,moss,thickness,4,2
decimal,degrees,date,4,1
degrading,ice,wedges,4,1
dry,soil,run,4,1
ease,grid,version,4,2
epsg,3408,basin,4,2
epsg,3408,month,4,2
esri,default,id,4,1
extraction,method,ice,4,1
field,ble,lter's,4,4
grid,cell,representing,4,2
grid,version,1,4,2
hemisphere,721x721,matrix,4,2
human,disturbance,stability,4,2
hz,background,subtracted,4,1
hz,hz,background,4,1
ibutton,transect,identification,4,1
ice,wedge,degradation,4,1
ice,wedge,melting,4,1
ice,wedges,measurement,4,1
iso8601,yyyy,mm,4,1
low,centered,polygon,4,1
measured,snow,core,4,1
meters,vegetation,type,4,2
method,ice,core,4,1
micro,molars,measured,4,1
microrelief,thaw,depth,4,2
mm,dd,latitude,4,2
moisture,code,glacial,4,2
month,yyyy,mm,4,2
northern,hemisphere,721x721,4,2
organic,material,centimeters,4,2
photo,percent,cover,4,1
pleurocarpous,bryophytes,cover,4,2
plot,elevation,measured,4,2
radio,transmitter,attached,4,1
releves,counted,measured,4,1
site,estimated,duration,4,2
site,moisture,code,4,2
site,parent,material,4,2
site,topographic,position,4,2
site,wind,exposure,4,2
snow,core,measured,4,1
soil,photo,type,4,2
soil,total,nitrogen,4,1
station,code,latitude,4,1
total,organic,carbon,4,1
total,suspended,particles,4,1
version,1,northern,4,2
wedge,degradation,status,4,1
wind,exposure,scale,4,2
yyyy,mm,latitude,4,2
1,km,6,3,2
1,station,2,3,2
1st,akdt,time,3,1
6,unlimited,observer’s,3,2
additional,soil,plot,3,2
air,temperature,regression,3,1
attribute,definition,unknown,3,1
bioclimatic,arctic,subzone,3,1
borehole,sampled,date,3,3
calibrated,95,confidence,3,1
centimeter,soil,horizon,3,2
centimeter,tare,weight,3,1
code,site,moisture,3,1
codes,1,km,3,2
codes,dbo,visibility,3,2
core,drill,depth,3,3
daughter,tiller,1,3,1
daughter,tiller,2,3,1
daughter,tiller,3,3,1
daughter,tiller,4,3,1
daughter,tiller,5,3,1
daughter,tiller,6,3,1
dbo,visibility,codes,3,2
dbo,weather,codes,3,2
dd,hh:mm:ss,times,3,1
ddthh:mm,hh,times,3,1
definition,unknown,attribute,3,1
degrees,celsius,calculated,3,1
degrees,celsius,measured,3,1
degrees,date,time,3,1
entry,1,station,3,2
estimated,hatch,date,3,1
formation,1,standard,3,1
grain,size,phi,3,3
instrument,station,station,3,1
jan,1st,akdt,3,1
km,6,unlimited,3,2
live,horsetails,algae,3,1
massive,ice,thickness,3,2
meters,top,depth,3,3
microsite,code,site,3,1
mm,dd,hh:mm:ss,3,1
mm,dd,yyyy,3,2
nitrite,formation,1,3,1
patterned,ground,features,3,1
plot,bioclimatic,arctic,3,1
plot,sampling,location,3,1
recorded,iso8601,yyyy,3,1
recorded,yyyy,mm,3,1
retranslocation,efficiency,percent,3,1
sample,processing,analysis,3,1
sample,site,elevation,3,1
sampling,site,latitude,3,1
search,3,sighting,3,2
sediment,grain,size,3,3
site,microsite,code,3,1
site,patterned,ground,3,1
size,phi,class,3,3
soil,plot,notes,3,2
soil,survey,staff,3,2
standing,dead,depth,3,1
station,2,position,3,2
station,relative,humidity,3,1
station,sampling,volume,3,1
station,station,code,3,1
surface,geology,type,3,1
surface,sediment,grain,3,3
survey,staff,1975,3,2
sy14,average,student,3,1
time,recorded,iso8601,3,1
time,recorded,yyyy,3,1
u.s,soil,survey,3,2
unique,feature,identification,3,1
unique,object,identifier,3,1
unlimited,observer’s,comments,3,2
vegetation,type,code,3,1
vegetation,types,transect,3,1
visibility,codes,1,3,2
volumetric,moisture,content,3,1
weather,codes,dbo,3,2
weather,station,dew,3,1
weather,station,relative,3,1
weather,station,residual,3,1
wgs84,datum,measured,3,1
wgs84,datum,slope,3,1
100,liters,standard,2,1
1975,dry,soil,2,2
2019,100,12,2,1
2nb,loss,quantum,2,1
3408,date,yyyy,2,2
3408,soil,depth,2,2
5g,wet,soil,2,1
6,methyl,branched,2,1
721x721,matrix,column,2,2
721x721,matrix,latitude,2,2
8,current,speed,2,1
additional,relevant,information,2,2
age,range,upper,2,1
air,temperature,relative,2,1
airport,air,temperature,2,1
al,poor,nutrition,2,1
alaska,ecology,2019,2,1
alaska,geobotany,center,2,2
alaska,native,american,2,1
ammonia,concentration,flag,2,1
ancillary,snowfence,control,2,1
averaged,measured,volume,2,1
barometric,pressure,shortwave,2,1
biological,observatory,dbo,2,1
boil,flat,centered,2,1
borehold,plot,identification,2,1
calibration,run,identifier,2,1
calm,periods,wind,2,1
carbon,dioxide,pco2,2,1
carbon,fraction,isolated,2,1
centered,polygon,low,2,1
centered,polygon,rim,2,1
circumarctic,lake,observation,2,1
column,attribute,definition,2,1
columns,latitude,deg,2,1
columns,longitude,deg,2,1
core,borehold,plot,2,1
core,depth,measured,2,1
core,measured,depth,2,1
core,measured,volume,2,1
core,transect,identification,2,1
core,weight,measured,2,1
counted,measured,snow,2,1
counted,measured,weight,2,1
cryostructures,plot,identification,2,1
ctd,scan,pressure,2,2
ctd,temperature,measurement,2,2
current,heading,adjusted,2,1
current,speed,current,2,1
curve,total,reducing,2,1
data,book,comments,2,1
data,report,elevation,2,1
data,report,longitude,2,1
decimal,degrees,height,2,1
decimal,degrees,species,2,1
degrees,species,pluralis,2,1
depth,basin,id,2,2
depth,derived,speed,2,1
depth,measured,volume,2,1
derived,ble,lter,2,1
diatom,species,counted,2,1
dissolved,organic,carbon,2,2
distributed,biological,observatory,2,1
disturbed,frost,boil,2,1
disturbed,transect,identification,2,1
divergent,tree,growth,2,1
drilling,transect,identification,2,1
dry,soil,chroma,2,2
dry,soil,hue,2,2
dry,soil,phosphate,2,1
ecology,2019,100,2,1
ect9,protocol,ratio,2,1
education,ak,deed,2,1
elemental,carbon,fraction,2,1
epoch,time,approximate,2,1
epsg,3408,date,2,2
epsg,3408,soil,2,2
estimate,dry,mass,2,1
estimated,snow,duration,2,1
fertilized,treatment,npk,2,1
final,paper,2nd,2,1
final,paper,3rd,2,1
final,paper,4th,2,1
flat,centered,polygon,2,1
foxx,weather,station,2,1
free,primary,amines,2,1
frost,boil,flat,2,1
frozen,transient,layer,2,1
fum,tn,tn,2,1
fum,toc,toc,2,1
ghaas,date,yyyy,2,2
gmt,8,ble,2,1
gmt,8,current,2,1
gravel,dry,weight,2,2
ground,air,temperature,2,1
gull,weather,station,2,1
hare,gps,station,2,1
hue,moist,soil,2,2
hydroxyl,radical,scavenger,2,1
ibutton's,height,measurement,2,1
ice,body,based,2,1
ice,code,thickness,2,1
icp,ms,ammonia,2,1
identification,plot,distance,2,1
individual,plant,collection,2,1
individuals,sighted,dbo,2,1
induce,larger,snowdrifts,2,1
information,quality,score,2,1
instrument,detection,limit,2,1
intermediate,layer,thickness,2,2
iodine,mole,fraction,2,1
jar2,weather,station,2,1
katabatic,wind,regime,2,1
kilometers,km2,unique,2,1
km2,unique,id,2,1
lab,dry,soil,2,1
lake,observation,network,2,1
land,surface,height,2,1
larger,snowdrifts,similar,2,1
leucine,curve,total,2,1
level,additional,notes,2,1
liters,standard,deviation,2,1
location,longitude,east,2,1
location,unique,identifier,2,1
logbook,entry,separated,2,1
loss,quantum,yield,2,1
main,ancillary,snowfence,2,1
marine,mammal,sighted,2,1
massive,ice,code,2,1
matter,additional,soil,2,2
measured,distance,measured,2,1
measured,snow,weight,2,1
measurement,location,longitude,2,1
methyl,branched,gdgts,2,1
mg,sugar,equivalents,2,1
mm,dd,row,2,2
mm,dd,time,2,1
moist,soil,chroma,2,2
moist,soil,hue,2,2
ms,ammonia,concentration,2,1
native,american,indian,2,1
nest,book,comments,2,1
nitrate,nitrite,concentration,2,1
nitric,acid,concentration,2,1
nmol,leu,equiv,2,1
north,northward,velocity,2,1
northern,alaska,ecology,2,1
northward,velocity,eastward,2,1
observatory,dbo,regions,2,1
observed,distributed,biological,2,1
organic,matter,additional,2,2
organics,dry,weight,2,2
oscillation,daily,index,2,1
oxygen,sbe,43,2,2
paper,2nd,figure,2,1
paper,3rd,figure,2,1
paper,4th,figure,2,1
peptide,spectral,match,2,1
periods,wind,speed,2,1
phosphate,concentration,flag,2,1
pit,low,centered,2,1
plot,identification,date,2,1
plots,transect,identification,2,1
pluralis,species,code,2,1
polygon,low,centered,2,1
polygon,rim,roadside,2,1
pressure,depth,derived,2,1
pressure,shortwave,radiation,2,1
psm,peptide,spectral,2,1
quantum,yield,figure,2,1
radiation,radiometer,temperature,2,1
range,upper,bound,2,1
relative,humidity,dew,2,1
resin,strip,phosphate,2,1
resin,strip,total,2,1
rim,roadside,berm,2,1
rim,thermokarst,pit,2,1
road,transect,identification,2,1
sample,plots,transect,2,1
sample,site,longitude,2,1
sampling,column,resolution,2,1
sampling,ctd,scan,2,2
sbe,43,ml,2,2
scan,pressure,measured,2,2
scavenge,hydroxyl,radical,2,1
sea,level,additional,2,1
sea,level,measured,2,1
sighted,dbo,region,2,1
sighting,species,code,2,1
silicate,concentration,flag,2,1
silva,database,assignment,2,1
snow,core,borehold,2,1
snow,core,depth,2,1
snow,core,transect,2,1
snow,core,weight,2,1
snow,thaw,depth,2,1
snow,weight,snow,2,1
snowdrifts,similar,trees,2,1
snowfence,control,fertilized,2,1
soil,depth,basin,2,2
soil,hue,moist,2,2
soil,layer,range,2,2
soil,moisture,measured,2,2
soil,temperature,observation,2,1
soil,temperature,standard,2,1
soil,total,organic,2,1
sound,derived,conductivity,2,1
species,pluralis,species,2,1
specimens,observed,distributed,2,1
speed,current,heading,2,1
square,kilometers,basin,2,2
square,kilometers,km2,2,1
staff,1975,dry,2,2
strip,total,free,2,1
student,attendance,rate,2,1
student,graduation,rate,2,1
system,ghaas,basin,2,2
system,ghaas,date,2,2
system,ghaas,latitude,2,2
system,ghaas,note,2,2
t2,standard,deviation,2,1
t2,volumetric,moisture,2,1
table,6,type,2,1
temperature,barometric,pressure,2,1
temperature,relative,humidity,2,1
temperature,standard,error,2,1
thaw,depth,measurements,2,1
thermokarst,pit,low,2,1
thu,airport,air,2,1
time,approximate,flow,2,1
total,carbon,isolated,2,1
total,free,primary,2,1
total,pressure,depth,2,1
total,reducing,sugars,2,1
transect,identification,plot,2,1
treatment,1,5,2,1
treatment,main,ancillary,2,1
treatment,npk,fertilizer,2,1
trimble,additional,notes,2,1
undecomposed,organics,dry,2,2
unique,identifier,assigned,2,2
unique,study,location,2,1
vegetation,types,type,2,1
velocity,eastward,velocity,2,1
volumetric,soil,moisture,2,2
wave,crests,average,2,1
wave,radiation,radiometer,2,1
weather,station,69.415,2,1
weight,measured,snow,2,1
weight,snow,thaw,2,1
wet,mass,applies,2,1
wet,soil,applies,2,1
ws,2,flag,2,2
0.01,gas,transfer,1,1
0.0119,total_head,0.062,1,1
0.062,tarsus,0.1255,1,1
0.1255,wing,0.0766,1,1
0.4623,culmen,0.0119,1,1
08,offset,switch,1,1
1,8,shorthand,1,1
1,sigma,standard,1,1
1,taxonomic,assignments,1,1
10,min,aggregation,1,1
100,identity,class,1,1
100,liters,222,1,1
1417300,www.arcticlakeice.org,calon,1,1
1975,moist,soil,1,1
2011,ice,wedge,1,1
2012,ice,wedge,1,1
2013,ice,wedge,1,1
2014,ice,wedge,1,1
222,radon,measured,1,1
222radon,226,radium,1,1
226,radium,226,1,1
226,radium,measured,1,1
24,hour,sum,1,1
2nb,loss,1,1,1
3,5,measurements,1,1
3,alkenones,ratio,1,1
3,snow,temperature,1,1
36,characters,enclosed,1,1
6,additional,notes,1,1
8,ble,lter,1,1
8,ble,lter's,1,1
8,shorthand,form,1,1
8,total,pressure,1,1
90,degree,elevation,1,1
95,confidence,low,1,1
aarhus,denmark,glass,1,1
abbreviated,filter,sample,1,1
absolute,logger,height,1,1
absorption,spectroscopy,fit,1,1
accelerator,mass,spectrometry,1,1
accession,dated,bone,1,1
accumulated,freezing,degree,1,1
acid,mole,fraction,1,1
acrocarpous,bryophytes,cover,1,1
added,sample,type,1,1
additional,notes,artifact,1,1
aerosol,fraction,field,1,1
aerosol,fraction,sample,1,1
age,organics,id,1,1
age,range,reference,1,1
aggregated,observation,wind,1,1
aggregation,period,air,1,1
aggregation,wind,azimuth,1,1
air,temperature,observation,1,1
air,temperature,sensor,1,1
ak,deed,district,1,1
ak,deed,school,1,1
akdt,time,24,1,1
akdt,time,day,1,1
akdt,time,latitude,1,1
akdt,time,water,1,1
akdt,time,week,1,1
alaska,lake,ice,1,1
alaska,museum,earth,1,1
american,teleconnection,daily,1,1
analysis,abbreviated,filter,1,1
antarctic,oscillation,index,1,1
approximate,flow,rate,1,1
approximate,flow,setting,1,1
arc,1417300,www.arcticlakeice.org,1,1
archives,digital,catalog,1,1
arctic,lake,ice,1,1
arctic,oscillation,daily,1,1
arctic,winter,calculate,1,1
array,station,type,1,1
artifact,found,position,1,1
artifacts,additional,notes,1,1
atlantic,oscillation,daily,1,1
attached,nest,book,1,1
attribute,definition,median,1,1
attribute,definition,minimum,1,1
attribute,definition,notable,1,1
attribute,definition,unique,1,1
average,d18o,willow,1,1
average,retention,rate,1,1
average,student,attendance,1,1
average,student,count,1,1
average,student,enrollment,1,1
average,student,graduation,1,1
average,values,thickness,1,1
average,values,types,1,1
banding,book,comments,1,1
banding,location,comments,1,1
bands,internal,grain,1,1
bare,ground,cover,1,1
basepairs,bp,taxonomic,1,1
benthic,forams,description,1,1
biovolume,calculations,additional,1,1
bird,banding,book,1,1
block,1,notes,1,1
block,2,notes,1,1
block,3,notes,1,1
book,comments,stake,1,1
book,comments,subsample,1,1
book,nest,contents,1,1
borehole,permafrost,table,1,1
boundary,description,additional,1,1
bp,taxonomic,assignment,1,1
brackish,conditions,site,1,1
branched,gdgts,radiocarbon,1,1
branched,gdgts,size,1,1
breakup,river,ice,1,1
c37,3,alkenones,1,1
c37,alkenones,μg,1,1
calculate,cell,abundance,1,1
calculate,concentrations,exotics,1,1
calculate,concentrations,sample,1,1
calculations,additional,notes,1,1
calibration,routine,post,1,1
california,irvine,usa,1,1
calm,periods,absolute,1,1
calm,periods,deviation,1,1
captured,discriminate,function,1,1
carbon,blank,cells,1,1
carbon,cycle,accelerator,1,1
carbon,data,flag,1,1
carbon,method,ppm,1,1
category1,plant,functional,1,1
category2,nitrogen,fixer,1,1
celsius,net,ecosystem,1,1
censor,fate,unknown,1,1
censored,day,found,1,1
center,id,location,1,1
center,standard,deviation,1,1
centimeters,estimated,maximum,1,1
centimeters,tare,weight,1,1
cf,diatoma,vulgaris,1,1
checked,median,median,1,1
chroma,moist,soil,1,1
chroma,volumetric,soil,1,1
citation,information,indicating,1,1
class,generalized,category,1,1
class,level,probability,1,1
class,level,ranges,1,1
class,total,thickness,1,1
classification,criteria,identifies,1,1
cloth,thermal,conductive,1,1
cm,3,snow,1,1
code,date,collected,1,1
code,date,time,1,1
collected,akdt,time,1,1
collected,habitat,type,1,1
collected,hour,data,1,1
collected,site,main,1,1
collected,typically,5,1,1
collected,vegetation,type,1,1
collection,elemental,carbon,1,1
collection,rosette,movement,1,1
colon,separated,list,1,1
colonies,picked,silva,1,1
color,soil,structure,1,1
column,carbon,data,1,1
column,sample,location,1,1
comments,data,book,1,1
comments,dbo,reason,1,1
comments,subsample,correction,1,1
community,lowest,grade,1,1
composition,fragment,size,1,1
compound,type,source,1,1
concentration,ble,lter's,1,1
concentrations,exotics,counted,1,1
concentrations,sample,quantity,1,1
concentrations,sample,size,1,1
confidence,low,calibrated,1,1
consistency,description,soil,1,1
contents,data,sheet,1,1
contributor,citation,information,1,1
coordinate,logger,identification,1,1
coralline,algae,normalized,1,1
corer,jpc,jpc,1,1
cores,collected,typically,1,1
counted,relative,percentage,1,1
cover,percentage,dust,1,1
cover,percentage,gravel,1,1
cover,percentage,rock,1,1
cover,percentage,soil,1,1
cover,percentage,total,1,1
cover,percentage,water,1,1
crests,average,height,1,1
crests,average,length,1,1
crustose,coralline,algae,1,1
cubic,meters,sampling,1,1
culmen,0.0119,total_head,1,1
cultivation,method,sampling,1,1
current,capture,event,1,1
curve,microbial,phosphate,1,1
curves,stefan,equation,1,1
cycle,accelerator,mass,1,1
d18o,willow,celluslose,1,1
daily,index,antarctic,1,1
daily,index,arctic,1,1
daily,index,sea,1,1
data,ble,lter's,1,1
data,flag,nitrogen,1,1
data,report,distance,1,1
data,report,transect,1,1
data,sheet,comments,1,1
data,standard,error,1,1
data,steward,unknown,1,1
date,checked,median,1,1
date,dd,mon,1,1
date,sampling,stop,1,1
date,time,collected,1,1
date,time,format,1,1
dated,subregion,expansion,1,1
dating,relative,percentage,1,1
day,aggregated,observation,1,1
day,found,day,1,1
day,found,empty,1,1
day,found,nest,1,1
day,prior,day,1,1
daylight,savings,time,1,1
days,resin,strips,1,1
dd,mon,multiple,1,1
dd,yyyy,hh:mm,1,1
dd,yyyy,site,1,1
dd,yyyy,text,1,1
ddthh:mm,hh,note,1,1
dead,band,found,1,1
dead,e.g,found,1,1
decimal,degree,latitude,1,1
decimal,degrees,approximate,1,1
decimal,degrees,elevation,1,1
decimal,degrees,time,1,1
deed,district,id,1,1
deed,school,id,1,1
definition,median,elevation,1,1
definition,minimum,elevation,1,1
definition,notable,remarks,1,1
definition,unique,id,1,1
degree,days,fit,1,1
degree,elevation,spectrum,1,1
degrees,approximate,depth,1,1
degrees,celsius,concentration,1,1
degrees,celsius,net,1,1
denmark,glass,microsensors,1,1
deposits,generalized,category,1,1
depth,222radon,226,1,1
depth,measurement,collected,1,1
derived,data,flag,1,1
derived,water,temperature,1,1
description,additional,soil,1,1
description,soil,boundary,1,1
description,soil,texture,1,1
descriptive,navigation,terms,1,1
descriptive,sea,ice,1,1
detection,limit,half,1,1
determine,nest,fate,1,1
determined,volumetric,soil,1,1
differential,optical,absorption,1,1
diffraction,bands,internal,1,1
discriminate,function,score,1,1
dissolved,mercury,concentration,1,1
dissolved,mercury,measurements,1,1
dissolved,mercury,values,1,1
dissolved,oxygen,standard,1,1
district,id,alaska,1,1
disturbance,degree,description,1,1
disturbance,type,description,1,1
doas,differential,optical,1,1
drawn,unknown,attribute,1,1
dry,sediment,isomer,1,1
dry,soil,ammonium,1,1
dry,soil,nitrate,1,1
dunlin,equation,0.4623,1,1
duplicates,ble,lter's,1,1
duration,modifier,degree,1,1
dust,cover,percentage,1,1
e.g,found,dead,1,1
earth,sciences,accession,1,1
eastern,hemisphere,values,1,1
eastward,velocity,ble,1,1
eastward,velocity,data,1,1
ebullition,surveys,commenced,1,1
ec,tc,concentrations,1,1
ecosystem,production,estimated,1,1
ect9,protocol,additional,1,1
ect9,protocol,total,1,1
efficiency,fumigated,soil,1,1
efficiency,percent,mg,1,1
efficient,calculated,based,1,1
eml,element,geographiccoverage,1,1
empty,censor,fate,1,1
empty,day,prior,1,1
empty,estimated,hatch,1,1
empty,tests,benthic,1,1
ephippia,size,range,1,1
equation,0.4623,culmen,1,1
estimated,maximum,ice,1,1
evidence,indicating,hatching,1,1
exact,coordinates,site,1,1
expansion,rates,observed,1,1
exposure,scale,plots,1,1
extraction,efficiency,fumigated,1,1
family,level,probability,1,1
family,level,ranges,1,1
feature,unknown,attribute,1,1
field,habitat,type,1,1
field,identifier,material,1,1
field,identifier,start,1,1
file,si_t4_oc,ec,1,1
filter,feeders,normalized,1,1
filter,sample,id,1,1
final,paper,experiment,1,1
final,paper,identification,1,1
finding,nest,empty,1,1
fixer,status,status,1,1
flag,column,denoting,1,1
flag,column,dissolved_mercury_flag,1,1
flag,indicating,dissolved,1,1
flag,nitrogen,data,1,1
flake,initiation,technician,1,1
flake,type,flake,1,1
flat,ground,comments,1,1
flotation,sample,level,1,1
flow,rate,setting,1,1
flowcam,standard,deviation,1,1
fluorescence,units,rfu,1,1
flux,measurment,units,1,1
foliose,red,algae,1,1
form,categorical,class,1,1
format,mm,dd,1,1
format,yyyy,mm,1,1
found,day,found,1,1
found,dead,band,1,1
found,empty,censor,1,1
found,nest,empty,1,1
fraction,field,identifier,1,1
fraction,sample,id,1,1
fragmental,material,produced,1,1
free,water,metabolism,1,1
freezing,degree,days,1,1
freezing,typically,based,1,1
frequency,unknown,bird,1,1
frequency,unknown,unknown,1,1
fumigated,sample,ug,1,1
fumigated,sample,µg,1,1
functional,category1,plant,1,1
functional,category2,nitrogen,1,1
fungal,otus,operational,1,1
