word1,word2,word3,n,unique_ids
month,latitude,longitude,4,2
moss,depth,dust,4,2
parent,material,microsite,4,2
physical,stability,exposure,4,2
pl1,intermediate,layer,4,1
position,estimated,snow,4,2
protective,layer,pl1,4,1
releves,snow,core,4,1
road,polygon,center,4,1
road,vegetation,type,4,2
site,moisture,glacial,4,2
slope,aspect,elevation,4,2
soil,color,chroma,4,2
soil,color,hue,4,2
thaw,depth,vegetation,4,2
thickness,organic,microrelief,4,2
topographic,position,estimated,4,2
type,massive,ice,4,1
valid_aot361nm,valid_bro_ltvcd_sig,datetime_utc,4,1
valid_bro_ltvcd_sig,datetime_utc,lat,4,1
acrocarpous,bryophytes,horsetails,3,1
algae,dead,cover,3,1
algae,live,cover,3,1
aspect,elevation,plot,3,1
borehole,location,date,3,2
bryophytes,acrocarpous,bryophytes,3,1
bryophytes,horsetails,algae,3,1
center,date,observers,3,1
color,chroma,munsell,3,2
core,extraction,notes,3,3
cover,horsetails,algae,3,1
date,observers,latitude,3,1
date,piece,drill,3,3
dead,cover,dead,3,1
degree,disturbance,type,3,1
disturbance,degree,disturbance,3,1
disturbed,plot,transect,3,1
down_conn,total_conn,surf_geol,3,1
duration,disturbance,degree,3,1
elevation,plot,photo,3,1
fid,zone,catch_id,3,1
gravimetric,moisture,content,3,1
hole,date,piece,3,3
horsetails,algae,dead,3,1
horsetails,algae,live,3,1
latitude,longitude,date_time,3,1
latitude,longitude,slope,3,1
live,cover,horsetails,3,1
location,moisture,pgf,3,1
longitude,slope,aspect,3,1
moisture,content,t1,3,1
moisture,pgf,replication,3,1
note,id,prcntyrsfi,3,1
notes,station,latitude,3,1
observers,latitude,longitude,3,1
organic,microrelief,height,3,1
piece,drill,depth,3,3
pleurocarpous,bryophytes,acrocarpous,3,1
polygon,center,date,3,1
prcntyrsfi,note,id,3,1
rfe,ss,wea,3,2
roadside,soil,photo,3,1
snow,duration,disturbance,3,1
ss,wea,vis,3,2
subzone,location,moisture,3,1
tavg,tdew,rh.ice,3,1
tdew,rh.ice,t.rsd,3,1
time,longitude,latitude,3,1
total_conn,surf_geol,hydconn,3,1
transect,subzone,location,3,1
type,disturbed,plot,3,1
up_conn,down_conn,total_conn,3,1
vegetation,type,disturbed,3,1
volumetric,moisture,content,3,1
wea,vis,comment,3,2
wedge,degredation,expected,3,1
0.45micrometer,mercury,concentration,2,1
2,t_radiometers,degc,2,1
2011,ice,wedge,2,1
2012,ice,wedge,2,1
2013,ice,wedge,2,1
2014,ice,wedge,2,1
2s,calibrated,age,2,1
5g,wet,dry,2,1
absolute,land,surface,2,1
absolute,surface,absolute,2,1
agc,id,temperature,2,1
age,range,cal,2,1
air_t,degc,rel_hum,2,1
average,thickness,t1,2,1
borehole,depth,location,2,2
borehole,plot,type,2,1
calibrated,age,range,2,1
ch4,ich4,co2,2,1
chroma,munsell,moist,2,2
cm,soil,horizon,2,1
cm3,disturbed,transect,2,1
code,frozen,protective,2,1
cog,deg,air_t,2,1
column,definition,date,2,1
core,volume,borehole,2,1
core,weight,snow,2,1
ctdscan_raw,ctdpres_dbar,ctdtemp_2,2,2
date,grid_row,grid_column,2,2
date,site,treatment,2,1
date,time,longitude,2,1
date_collected,water_column_position,collection_method,2,2
definition,date,site,2,1
deg,air_t,degc,2,1
degc,press_radiometers,mbar,2,1
degc,rel_hum,dew_t,2,1
depth,location,water,2,2
depth,thaw,depth,2,2
dew_t,degc,press_radiometers,2,1
dissolved,0.45micrometer,mercury,2,1
disturbed,microrelief,type,2,1
disturbed,plot,microrelief,2,1
dry,mass,wet,2,1
dry,weight,notes,2,2
dry,weight,organic,2,2
dry,weight,undecomposed,2,2
dust,penetrated,peat,2,1
eness,wind.sp,tavg,2,1
err,soil,temperature,2,1
fig_a,fig_b,fig_c,2,1
fig_b,fig_c,fig_d,2,1
flag_nh3,flag_po4,flag_sio2,2,1
flag_po4,flag_sio2,flag_no23,2,1
flags,disturbed,plot,2,1
flags,dust,penetrated,2,1
foxx_melt,gull_melt,hare_melt,2,1
ghaas_basin_id,basin_area,basin_name,2,2
ghaas_basin_id,date,grid_row,2,2
ghaas_basin_id,latitude,longitude,2,2
gmc,st.dev,t1,2,1
gravel,dry,weight,2,2
grid_column,latitude,longitude,2,2
grid_row,grid_column,latitude,2,2
hue,munsell,dry,2,2
hue,munsell,moist,2,2
hydconn,fid,zone,2,1
ibutton,tm,distance,2,1
ibutton,tm,transect,2,1
ibuttons,tm,transect,2,1
ice,code,frozen,2,1
ich4,co2,ico2,2,1
id,temperature,logger,2,1
intermediate,layer,borehole,2,2
j2nb_s1,phi_no2,qy_error,2,1
jar2_melt,foxx_melt,gull_melt,2,1
land,surface,height,2,1
lat,north,lon,2,1
latitude,longitude,date,2,2
latitude,longitude,soil_depth,2,2
latitude,station,volume,2,1
layer,dust,1,2,2
layer,intermediate,layer,2,2
layer,pl3,plot,2,1
layer,pl3,transect,2,1
location,water,depth,2,2
logger,location,height,2,1
longitude,date,latitude,2,2
longitude,elevation,notes,2,1
longitude,ghaas_basin_id,basin_area,2,2
longitude,ghaas_basin_id,latitude,2,2
longitude,latitude,station,2,1
longitude,soil_depth,ghaas_basin_id,2,2
m_validy,m_validy,m_validy,2,1
mass,wet,mass,2,1
massive,ice,code,2,1
matter,dry,weight,2,2
measurement,measurement,resolution,2,1
meters,snow,depth,2,1
microrelief,type,latitude,2,1
microrelief,type,locations,2,1
moisture,content,t2,2,1
north,lon,east,2,1
notes,station_name,latitude,2,2
organic,2,depth,2,2
organic,matter,dry,2,2
organics,dry,weight,2,2
pctlakeare,up_conn,down_conn,2,1
peat,latitude,longitude,2,1
penetrated,peat,latitude,2,1
perimeter,totallakes,pctlakeare,2,1
permafrost,table,borehole,2,2
phi_no2,qy_error,fig_a,2,1
pl3,plot,type,2,1
pl3,transect,numberdistance,2,1
plot,microrelief,type,2,1
plot,transect,distance,2,1
plots,transect,distance,2,1
po4,tfpa,trs,2,1
prcntyrsfi,note,prcntyrsfi,2,1
press_radiometers,mbar,shortwave,2,1
protective,layer,intermediate,2,2
qy_error,fig_a,fig_b,2,1
range,2s,calibrated,2,1
range,cal,yr,2,1
region,date,time,2,2
rel_hum,dew_t,degc,2,1
resolution,measurement,measurement,2,1
road,disturbed,microrelief,2,1
sample,date,distance,2,1
sample,date,water,2,1
sample,plots,transect,2,1
site,station,latitude,2,1
site,treatment,plot,2,1
snow,depth,sample,2,1
snowpack,sampling,height,2,1
soil,horizon,munsell,2,1
soil_depth,ghaas_basin_id,date,2,2
station,date_time,speed_cm_s,2,1
station,volume,date,2,1
std,err,soil,2,1
surf_geol,hydconn,fid,2,1
surface,absolute,land,2,1
t2,average,thickness,2,1
t2,gmc,st.dev,2,1
table,borehole,location,2,2
tare,borehole,location,2,1
temperature,logger,location,2,1
thaw,depth,sample,2,1
toc,fum,tn,2,1
total,mercury,concentration,2,1
totallakes,pctlakeare,up_conn,2,1
trimble,accuracy,notes,2,1
trip,ctdscan_raw,ctdpres_dbar,2,2
trough,logger,id,2,1
trough,snow,core,2,1
type,latitude,longitude,2,1
type,microrelief,type,2,1
undecomposed,organics,dry,2,2
vegetation,type,microrelief,2,1
volume,borehole,plot,2,1
volume,cm3,disturbed,2,1
volume,cm3,transect,2,1
volume,date,time,2,1
water,depth,thaw,2,2
water_column_position,collection_method,station_name,2,2
weight,organic,matter,2,2
weight,snow,core,2,1
weight,undecomposed,organics,2,2
wet,dry,mass,2,1
wind.az,eness,wind.sp,2,1
wind.sp,tavg,tdew,2,1
x_dd,y_dd,height,2,1
x_dms,y_dms,x_dd,2,1
y_dms,x_dd,y_dd,2,1
10521700,coupler,attached,1,1
10521700,coupler,detached,1,1
10521700,event,units,1,1
10521700,host,connected,1,1
10521700,stopped,lgr,1,1
14c,analytical,uncertainty,1,1
14c,uncertainty,sample,1,1
1950,upper,range,1,1
1980,notes,environmental,1,1
1983,glacial,geology,1,1
1983,soil,moisture,1,1
2.6,date,borehole,1,1
2.6,depth,range,1,1
226ra,stdev_226ra,222rn,1,1
40g,res,temp,1,1
5yrs,avg.attend,5yrs,1,1
5yrs,avg.enrollment10.14.5yrs,std.dev.enroll,1,1
5yrs,avg.grad,5yrs,1,1
5yrs,avg.p.s.eth.an,5yrs,1,1
5yrs,avg.p.s.gender.male,5yrs,1,1
5yrs,avg.s.p.prof.m,5yrs,1,1
5yrs,avg.s.p.prof.r,5yrs,1,1
5yrs,avg.s.p.prof.w,5yrs,1,1
5yrs,avg.t.count,5yrs,1,1
5yrs,avg.t.retention,5yrs,1,1
5yrs,std.dev.attend,5yrs,1,1
5yrs,std.dev.grad,5yrs,1,1
5yrs,std.dev.p.s.gender.male,5yrs,1,1
5yrs,std.dev.s.count.ayp,5yrs,1,1
5yrs,std.dev.s.p.prof.m,5yrs,1,1
5yrs,std.dev.s.p.prof.r,5yrs,1,1
5yrs,std.dev.s.p.prof.w,5yrs,1,1
5yrs,std.dev.t.count,5yrs,1,1
5yrs,std.dev.trentention,5yrs,1,1
5yrs,stdev.p.s.eth.an,5yrs,1,1
aao,pna,seaice,1,1
abbr_site_name,latitude_dd,longitude_dd,1,1
abbreviated,filter,sample,1,1
absolute,height,ground,1,1
abundance_method,standard_deviation_biovolume,notes,1,1
accuracy,notes,column,1,1
acrocarpous,bryophytes,cover,1,1
air_height,site_id,vegeclass,1,1
al,1980,notes,1,1
alaska,geobotany,center,1,1
all_obs_reported,comments,comments,1,1
amps,iso,adjustment,1,1
analyst,notes,artifact,1,1
analytical,uncertainty,organics,1,1
ao,aao,pna,1,1
applicable_range,sample_precision,datasetid,1,1
area_acres,dataset,area_sqkm,1,1
area_sqkm,globalid,sourceagen,1,1
area_sqkm,uniqueid,objectid_1,1,1
aspect,elevation,photographer,1,1
aspect,nest_book_comments,nest_contents,1,1
average,thickness,t2,1,1
average_wave_height_m,wave_energy_j_m2,notes,1,1
avg,226ra,stdev_226ra,1,1
avg.attend,5yrs,std.dev.attend,1,1
avg.enrollment10.14.5yrs,std.dev.enroll,avg.s.count.ayp,1,1
avg.grad,5yrs,std.dev.grad,1,1
avg.p.s.eth.an,5yrs,stdev.p.s.eth.an,1,1
avg.p.s.gender.male,5yrs,std.dev.p.s.gender.male,1,1
avg.s.count.ayp,5yrs,std.dev.s.count.ayp,1,1
avg.s.p.prof.m,5yrs,std.dev.s.p.prof.m,1,1
avg.s.p.prof.r,5yrs,std.dev.s.p.prof.r,1,1
avg.s.p.prof.w,5yrs,std.dev.s.p.prof.w,1,1
avg.t.count,5yrs,std.dev.t.count,1,1
avg.t.retention,5yrs,std.dev.trentention,1,1
avgd13ch4_permi,stdevd13ch4_permil,avgd13ch4_permil,1,1
avgd13ch4_permil,stdevd13ch4,permil,1,1
avgd13ch4_permil,stdevd13ch4_permil,avgd13ch4_permi,1,1
b1notes,b2notes,b3notes,1,1
b2notes,b3notes,b4notes,1,1
band_change,how_cap,dfa_score,1,1
bare,ground,percent,1,1
bearing_degree,notes,station,1,1
block,compound,type,1,1
borehole,depth,cm,1,1
boundaries,notes,site,1,1
bryophytes,cover,acrocarpous,1,1
bryophytes,cover,dead,1,1
buccal,color,gut,1,1
buffer,j2nb_s1,phi_no2,1,1
c37,total,µg,1,1
cal,range,upper,1,1
calibrated_high,calibrated_low,calibrated_mean,1,1
calibrated_low,calibrated_mean,uncal_mean,1,1
calibrated_mean,uncal_mean,uncal_error,1,1
calibration,sample,notes,1,1
category,factor,full_name.description,1,1
cca,filter,kelp,1,1
center,id,location,1,1
cf,diatoma,vulgaris,1,1
chemistry,unit,reaction,1,1
chroma,munsell,volumetric,1,1
chroma,soil,color,1,1
chrysophyte,cysts,diatom,1,1
cm,horizon,dry,1,1
cm,permafrost,table,1,1
cm3,snow,temperature,1,1
co2,ico2,lat,1,1
co2,ico2,sog,1,1
code,landform,surficial,1,1
collection,tare,profile,1,1
collection_method,habitat,longitude,1,1
color,chroma,soil,1,1
color,determination,field,1,1
color,gut,radio_transmitter,1,1
color,moist,structure,1,1
color_combo_different,band_change,how_cap,1,1
comment,rfe,ss,1,1
comments,all_obs_reported,comments,1,1
comments,b1notes,b2notes,1,1
comments,comments,nretrans,1,1
comments,comments,stake,1,1
comments,comments,subsample_correction_factor,1,1
comments,dead,buccal,1,1
comments,nretrans,pretrans,1,1
comments,nwstake,notes_gps_change,1,1
comments,shape_leng,shape_area,1,1
comments,stake,resightings,1,1
comments,subsample_correction_factor,incidental,1,1
comments,treatment,comments,1,1
compound,type,source,1,1
conceal,aspect,nest_book_comments,1,1
conductivity,station,date_time,1,1
confidence.ranking,growth.morphology,transect,1,1
consistency,texture,boundaries,1,1
container,organic,organic_m,1,1
content,estimated,borehole,1,1
content,t2,5,1,1
content,t2,gmc,1,1
coordinates,sublocation,tundra,1,1
core,notes,core,1,1
core,time,hom,1,1
core_segment,count,num_tablets,1,1
cortex,type,initiation,1,1
count,num_tablets,grains_per_tablet,1,1
coupler,attached,lgr,1,1
coupler,detached,lgr,1,1
cover,acrocarpous,bryophytes,1,1
cover,litter,soil,1,1
ctbr_id,ctbr_id,existing_cite,1,1
ctdpres_dbar,ctdtemp_2,ctdstddev_do_1_volts,1,1
ctdpres_dbar,ctdtemp_2,doc,1,1
ctdtemp_2,ctdstddev_do_1_volts,ctdstddev_trans,1,1
cultivated,isolate,identities,1,1
current_double_banded,color_combo_different,band_change,1,1
cysts,diatom,valves,1,1
d1_la,d2_la,d3_la,1,1
d1_num,d2_num,d3_num,1,1
d1_wt,d2_wt,d3_wt,1,1
d18o,notes,station_name,1,1
d2_la,d3_la,d4_la,1,1
d2_num,d3_num,d4_num,1,1
d2_wt,d3_wt,d4_wt,1,1
d3_la,d4_la,d5_la,1,1
d3_num,d4_num,d5_num,1,1
d3_wt,d4_wt,d5_wt,1,1
d4_la,d5_la,d6_la,1,1
d4_num,d5_num,d6_num,1,1
d4_wt,d5_wt,d6_wt,1,1
d5_la,d6_la,m_num,1,1
d5_wt,d6_wt,m_la,1,1
d6_la,m_num,d1_num,1,1
d6_wt,m_la,d1_la,1,1
d75,d25,mud,1,1
dailyrain_mm,latitude,longitude,1,1
data_entry_comments,history,comments,1,1
datadate,trip,ctdscan_raw,1,1
dataset,area_sqkm,globalid,1,1
date,ec,tc,1,1
date,location,coordinates,1,1
date,observers,north,1,1
date,prcp.yr,eto,1,1
date,stop,time,1,1
date,water_column_position,collection_method,1,1
date_collected,flag_nh3,flag_po4,1,1
date_collected,pigment,flag,1,1
date_collected,water_column_position,d18o,1,1
date_collected,water_column_position,flag_c,1,1
date_collected,water_column_position,flag_nh3,1,1
date_time,bearing_degree,notes,1,1
date_time,datasetid,givenname,1,1
date_time,depth_m,significant_wave_period_s,1,1
date_time,instrument,recalibrated_parameters,1,1
date_time,pressure,depth,1,1
date_time,sound_vel,station,1,1
date_time,speed_cm_s,heading,1,1
date_time,speed_cm_s,heading_degree,1,1
date_time,station,date_time,1,1
date_time,tidal_slope_m_h,notes,1,1
date_time,voltage_int_v,station_name,1,1
date_time,water_column_position,depth_m,1,1
date_time_deployed,date_time_retrieved,serial_no_rbr,1,1
date_time_retrieved,serial_no_rbr,serial_no_tcm,1,1
dated,lower,cal,1,1
dated,material,lower,1,1
datetime,latitude,longitude,1,1
day_used_for_hatch_date_or_last_date_checked,fate,fate_evidence,1,1
daybreak,mo,sn,1,1
daybreak,wind.az,eness,1,1
dd,elevation,logger,1,1
dd,elevation,releve,1,1
dd,lat,dd,1,1
dd,longitude,dd,1,1
dead,buccal,color,1,1
dead,current_double_banded,color_combo_different,1,1
degc,lat,north,1,1
degredation,expected,2012,1,1
degredation,expected,2013,1,1
degredation,expected,2014,1,1
degredation,expected2013,degredation,1,1
delta,14c,uncertainty,1,1
depth,cm,permafrost,1,1
depth,descriptive,cm,1,1
depth,perma,frost,1,1
depth,position,notes,1,1
depth,range,soil,1,1
depth,t1,10,1,1
depth,t1,100,1,1
depth,t1,200,1,1
depth,t1,25,1,1
depth,t1,50,1,1
depth,t1,average,1,1
depth,t2,10,1,1
depth,t2,100,1,1
depth,t2,200,1,1
depth,t2,25,1,1
depth,t2,50,1,1
depth,t2,average,1,1
depth,tare,borehole,1,1
depth,toc,k2so4,1,1
depth_m,phycoerythrin_ug_l,salinity,1,1
depth_m,significant_wave_period_s,one_tenth_wave_period_s,1,1
depth_m,speed_of_sound_m_s,specific_conductivity_us_cm,1,1
depth_n,density_n,surfacetype,1,1
description,cf,diatoma,1,1
description,tare,borehole,1,1
descriptive,cm,soil,1,1
detection_limit,applicable_range,sample_precision,1,1
determination,field,laboratory,1,1
dev,µm,rik37,1,1
dfa_score,ecotox_blood,immune_blood,1,1
diatom,valves,c37,1,1
diatoma,vulgaris,diploneis,1,1
diploneis,marginestriata,chrysophyte,1,1
dissolved_mercury_flag,date,location,1,1
district.id,school.id,school.name,1,1
district.name,district.id,school.id,1,1
disturbance,degree,animal,1,1
disturbance,type,stability,1,1
doc_ppm,k_cm_h,locationnotes,1,1
doy_st,year_ai,air_height,1,1
doy_st,year_st,st_depth,1,1
duration,estimated,snow,1,1
dust,gravel,rock,1,1
east,ch4,ich4,1,1
ec,ec,tc,1,1
ec,tc,comment,1,1
ec,tc,oc,1,1
ecotox_blood,immune_blood,radio_transmitter,1,1
element,locality_notes,more30kda_collagen,1,1
elevation,borehole,location,1,1
elevation,logger,id,1,1
elevation,notes,distance,1,1
elevation,notes,releve,1,1
elevation,photographer,plot,1,1
elevation,transect,distance,1,1
environmental,factor,code,1,1
ephippia,size,st,1,1
ephippia,size,µm,1,1
es,disturbance,degree,1,1
estimated,volumetric,moisture,1,1
event,units,lgr,1,1
exp_no,salt,container,1,1
exp_no,salt,organic,1,1
expected,2012,ice,1,1
expected,2013,ice,1,1
expected,2014,ice,1,1
expected2013,degredation,expected,1,1
exposure,scale,plot,1,1
exposure,soil,grab,1,1
f_captured,day_used_for_hatch_date_or_last_date_checked,fate,1,1
f_validy,m_validy,m_validy,1,1
factor,code,landform,1,1
factor,full_name.description,details.units,1,1
factors.plot,soilorganichorizonthickness,swisurface,1,1
family,family_prob,genus,1,1
family,otu.plots,sum,1,1
family_prob,genus,genus_prob,1,1
fate,fate_evidence,uncertain_of_fate,1,1
fate_evidence,uncertain_of_fate,replacement_clutch,1,1
fcode,area_acres,dataset,1,1
fence,unk1_captured,unk2_captured,1,1
fence,veg_type,treatment,1,1
fetch_m,oid_,objectid,1,1
field,laboratory,volumetric,1,1
fieldid,material_dated,subregion,1,1
fig_c,fig_d,exp_no,1,1
fig_c,fig_d,scavenger,1,1
fig_d,exp_no,salt,1,1
fig_d,scavenger,scavenger_conc,1,1
filter,kelp,red.algae,1,1
filter,sample,id,1,1
filter,sampling,id,1,1
flag,station_name,latitude,1,1
flag_c,flag_n,collection_method,1,1
flag_n,collection_method,station_name,1,1
flag_no23,collection_method,station_name,1,1
flag_no23,station_name,latitude,1,1
flag_sio2,flag_no23,collection_method,1,1
flag_sio2,flag_no23,station_name,1,1
flags,station_name,latitude,1,1
flags_condsal,flags_temperature,station_name,1,1
flags_temperature,station_name,latitude,1,1
float,material,therm_alt,1,1
flow,min10break,tavg,1,1
flow,timestamp,flow,1,1
frost,table,depth,1,1
frost_ref,recdatetime,datetime_utc,1,1
frost_spec,frost_ref,recdatetime,1,1
ftype,fcode,area_acres,1,1
full_site_name,abbr_site_name,latitude_dd,1,1
fum,mbc,mbn,1,1
fum,nh4,no3,1,1
fum,po4,no3,1,1
fum,tn,fum,1,1
fum,tn,mbio,1,1
fum,toc,fum,1,1
fvalidy,mvalidy,mvalidy,1,1
fwsal,site,station,1,1
genus,genus_prob,species,1,1
genus_prob,species,species_prob,1,1
geobotany,center,id,1,1
geomorphic_unit,macrotopography_class,microtopography_class,1,1
geomorphology,microsites,site,1,1
globalid,sourceagen,type,1,1
gmc,st.dev,t2,1,1
gnis_id,gnis_name,reachcode,1,1
gnis_name,reachcode,ftype,1,1
gpr_trace,layer,top,1,1
grains_per_tablet,sample_quantity,exotics_counted,1,1
gravel,consistency,texture,1,1
gravel,litter,water,1,1
gravel,rock,water,1,1
ground,percent,gravel,1,1
ground,snow,density,1,1
ground,surface,borehole,1,1
growth_rate,abundance_method,standard_deviation_biovolume,1,1
growth.morphology,transect,subzone,1,1
guild,confidence.ranking,growth.morphology,1,1
gull_melt,hare_melt,jar2_melt,1,1
gut,radio_transmitter,comments,1,1
habitat,fwsal,site,1,1
habitat,longitude,latitude,1,1
habitat_type,datasetid,givenname,1,1
habitat_type,node,lagoon,1,1
habitat_type,station,date_time,1,1
habitat_type,station_sampling_priority,chemistry,1,1
habitat_type,station_sampling_priority,node,1,1
habitat_type,station_sampling_priority,station,1,1
hare_melt,jar2_melt,foxx_melt,1,1
heading,vel_n,vel_e,1,1
heading_degree,vel_n_cm_s,vel_e_cm_s,1,1
height,ground,surface,1,1
highest.grade,title.i.status.count,5yrs,1,1
hno3_µm,nh4_µm,hno3_µm,1,1
hobr,hz223_norm,hz225_norm,1,1
hom,time,res,1,1
homogenized,mass,respiration,1,1
horizon,block,compound,1,1
horizon,dry,soil,1,1
horizon,munsell,color,1,1
horizon,munsell,dry,1,1
host,connected,lgr,1,1
hour,julianday,dailyrain_mm,1,1
how_cap,dfa_score,ecotox_blood,1,1
how_fnd,fence,unk1_captured,1,1
hrbreak,daybreak,mo,1,1
hrbreak,wind.az,eness,1,1
human,disturbance,degree,1,1
human,disturbance,type,1,1
hz179_norm,hz181_norm,hz271_norm,1,1
hz181_norm,hz271_norm,i2,1,1
hz223_norm,hz225_norm,hz179_norm,1,1
hz225_norm,hz179_norm,hz181_norm,1,1
i2,ibr,hobr,1,1
ibr,hobr,hz223_norm,1,1
ibutton,logger,id,1,1
ibutton,position,depth,1,1
ice,terms,nav,1,1
icecore7beconcentration_error,type,error,1,1
icecoresamplevolume_liters,icecore7beconcentration_error,type,1,1
ico2,lat,north,1,1
id,abbreviated,filter,1,1
id,dry,mass,1,1
id,ice,terms,1,1
id,location,ibutton,1,1
id,rock_depth,id,1,1
id,size,delta,1,1
id,start,date,1,1
immune_blood,radio_transmitter,comments,1,1
initiation,analyst,notes,1,1
instrument,recalibrated_parameters,pressure_dbar,1,1
intensity,fit,grain,1,1
ir,14c,age,1,1
