identifier,author,title,keywords,abstract,datePublished,dateUploaded
doi:10.18739/A2VK3X,Jason Amundson,"Taku Glacier time-lapse photos, Alaska. 2014-16",NA,"This project investigated the feedbacks between glacial erosion and glacier dynamics at Taku Glacier, Alaska, which is currently in the advancing phase of the tidewater glacier cycle. We measured the spatial and temporal patterns of sediment erosion, properties of basal till, basal water pressure, basal motion, ice deformation, surface velocities, surface mass balance, and changes in surface elevation and terminus position. Data was collected from spring 2014 through fall 2016. The project consisted of time-lapse photography, borehole instrumentation, GPS surveys, active seismics, and basic meteorological measurements. All field work was conducted close to the glacier terminus. This data set contains photos from several time-lapse cameras to document sediment deformation and the seasonal advance and retreat of the glacier's terminus. The time-lapse interval of the cameras varied, but was typically set at 1 hr. Two cameras were kept at fixed locations and operated for more than 1.5 years; the remaining cameras were positioned at different locations each summer.",2018-03-13T07:00:00Z,2018-04-03T17:58:44Z
doi:10.18739/A2H65S,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait 14 of 17 (140423_090000_AU_BS03.wav to 140603_230000_AU_BS03.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 66.76 N latitude and 168.95 W longitude. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013 and July 2013-July 2014,2014-10-07T07:00:00Z,2016-09-21T01:58:38Z
doi:10.18739/A2BC36,John Paden,"Focused synthetic aperture radar processing of echogram data with Multiple Signal Classification (MUSIC) antenna array processing, Greenland, July 15 - July 22, 2008",Radar depth sounder Echogram Ice thickness,"To better understand processes affecting the ice sheets and to supply boundary condition information into ice sheet models and ice thickness for other ice sheet analysis, the Center for Remote Sensing of Ice Sheets (CReSIS) has designed, developed, and deployed several multichannel radar depth sounders in Greenland. This dataset contains data collected mostly around outlet glaciers in Greenland, including a large grid at Jakobshavn, with the specific purpose of improving understanding in this dynamic and fast changing part of the ice sheet. This product uses focused synthetic aperture array (SAR) processing to improve resolution in along-track. The array processing technique used to combine the multiple channels is based on the Multiple Signal Classification (MUSIC) algorithm. The data product format is a Mathworks MATLAB file.  Files are named according to the format: Data{$image_id}_{$frame_id}.mat. The {$image_id} is a string which may be empty when it is a composite image or is of the form “img_II” where II is the 2-digit zero-padded image number always starting with 1 and incrementing from there. The frame ID is a concatenation of the segment ID and a frame number and follows the format YYYYMMDD_SS_FFF where FFF is the frame number from 000 to 999. For example, “Data_img_01_20080630_02_001.mat” contains data for image 01 from segment 02, frame 001, taken on 2008-06-30. More information can be found in “Readme.pdf”.",2017-08-28T07:00:00Z,2017-10-09T23:01:34Z
doi:10.18739/A2M07D,Kathleen M Stafford,Passive acoustic data from A2W in the Bering Strait 4 of 7 (121222_090000_AU_BS02.wav to 130128_190000_AU_BS02.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.8 N 168.8 W. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013.,2014-10-19T07:00:00Z,2016-09-21T16:53:59Z
doi:10.18739/A2165F,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait 10 of 17 (131107_210000_AU_BS03.wav to 131219_110000_AU_BS03.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 66.76 N latitude and 168.95 W longitude. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013 and July 2013-July 2014,2014-10-07T07:00:00Z,2016-09-21T00:33:38Z
urn:uuid:89de73d1-217a-432d-88ad-2f7e46a968e4,Philip Camill,Labrador Peatland Carbon Data core LB-3,EARTH SCIENCE > PALEOCLIMATE > LAND RECORDS > SEDIMENTS OTHER POINT POINT,"Peat carbon accumulation, paleoecology and geochronology data from a peatland in Labrador, Canada",2016-03-15T07:00:00Z,2016-05-02T21:46:34Z
urn:uuid:779db71a-16cf-4ae1-8ba3-bdc0b520d39f,Donald Perovich,"Ice Camp (PRELIMINARY) ice core temperature msmts, Pittsburgh site. (ASCII) (CRREL) [Perovich]",Ice Temperature Arctic Ice Physics,This data set contains PRELIMINARY ice core temperature cross-section data from CRREL ice thermistor chains at Pittsburgh site. Measurements are made hourly from each site on throughout the deployment. Data are ASCII text of ice temperature in degrees centigrade to nearest .1 degree. Measurement increment is 10 cm through the ice column and into the upper ocean a total of 230 cm from the upper ice surface.,2007-11-02T09:36:54Z,2017-06-21T17:35:42Z
urn:uuid:d10747c2-d24b-4cb7-b17b-bdcbef926406,Donald Perovich,"Spectral Light Transmittance [Perovich, D.]",Arctic,"While measuring albedo was the primary focus of the optical program, we were also interested in determining the the amount of solar energy transmitted through the ice cover. We measured spectral transmittance for a variety of ice types, including cold snow-covered ice, melting snow-covered ice, bare ice, melting ice, ponded ice, and leads. For additional documentation, start with the transmit.htm file contained in the zip file html-metadata.zip.",2007-11-02T10:04:50Z,2017-06-21T18:34:19Z
doi:10.18739/A2RN3069Q,Richard Krishfield,Hydrographic CCGS Louis S. St-Laurent Cruise CTD and Geochemistry Data 2011,NA,"Contains data from a hydrographic cruise conducted about the
aboard the Canadian Coast Guard Ship, CCGS Louis S. St-Laurent,
in July and August of 2011. There were 52 conductivity
temperature depth (CTD) casts performed aboard the using a
SBE911+ CTD system with 24 10-L Niskins. The CTD data for down
casts are provided in 1-db averaged files (*.cnv), in Seabird's
text format with one file per cast and separate files. CTD data
for each year is archived in a zip file. The zip file contains an
ascii formated file for each CTD station. Geochemistry data is
provided in a separate excel spreadsheet. Cruise documentation is
also available in the zip file.",2016-07-18T07:00:00Z,2018-06-28T21:43:38Z
doi:10.18739/A2XM14,Kathleen M Stafford,Passive acoustic data from Davis Strait - C6 10 of 16 (121130-0300-C6-09711.wav to 130110-1700-C6-10709.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CETACEANS EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CARNIVORES > SEALS/SEA LIONS/WALRUSES IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT UNKNOWN HOURLY TO DAILY 1 MINUTE TO 1 HOUR biota oceans environment,Passive acoustic data from instruments on moorings across Davis Strait. The data for this instrument were collected at 67.1 N latitude and 56.7 W longitude. Data were recorded from 1 Hz - 2 kHz (5 kHz sample rate) the first 15 minutes of each hour from October 2011-September 2013.,2014-09-04T07:00:00Z,2016-09-19T20:04:41Z
urn:uuid:a9695b80-4bfd-4dae-b55a-13093c48386e,Amanda H. Lynch,Council Climate NCAR ISS RASS Virtual Temperatures for Tundra Site(C2)(ASCII),"RASS,NCAR/ISS Arctic Sounding climatologyMeteorologyAtmosphere","This dataset contains vertical profiles of virtual temperature from the Tundra Site (C2) on the Council, Seward Peninsula. for the Arctic Transitions in the Land-Atmosphere System (ATLAS) project during the 2000 summer field campaign. The data were collected by the National Center for Atmospheric Research (NCAR) Atmospheric Technology Division (ATD) using the Integrated Sounding System (ISS) Radio Acoustic Sounding System (RASS).",NA,2016-06-13T22:27:56Z
urn:uuid:bb6c232f-67cd-4c11-a21d-76ec6cee834d,Laura Brosius,Compilation of High-latitude Lake Basal Ages and Origins,Landscape Processes Radiocarbon Sediments Periglacial Porcesses Ice Sheets Quaternary,"This dataset is a compilation of 1,207 lake basal ages used to identify spatial and temporal patterns of lake formation across the high northern latitudes. Data was gathered from scientific literature descriptions of lake cores, peat cores underlain by lake sediments, and exposures within the domain of glaciation and permafrost extent during the Last Glacial Maximum. We distinguished eight classes of lake origin. Where not indicated by the author, we sought to determine lake origin from lithology, geological history and site descriptions within the text. Though most records (95%) were radiocarbon dated, we included robust dates obtained by a variety of methods including varve counting, photoluminescence, Pb/Cs, Th/U, wiggle matching and tephrochronology. We reported oldest sample ages in the majority of cases, electing not to utilize basal ages derived from age-depth models extrapolated beyond dated levels due to both their high level of uncertainty and differences between methodologies used to construct each model. We excluded dates from shallow lake cores that clearly did not reach basal lake sediments, or that were collected for the sole purpose of methods development or recent human impact studies. Records that did not include dates from lower-most cored sediments, that suffered from uncorrected reservoir effects (noted by original author) or that contained copious age reversals were also excluded. Some records provided distinct stratigraphic evidence of lake formation that allowed for exact determination of lake basal age, while other lithologies were more ambiguous. To address this uncertainty, we categorized each lake age as ""minimum"" or ""basal"" based on interpretation of contextual, geographical and lithological information.",2018-01-01T08:00:00Z,2018-09-17T23:50:45Z
urn:uuid:00604ceb-7753-4898-a3ee-d22d6a7f886c,Jacqueline Richter-Menge,"Ice Stress [Richter-Menge J., B. Elder, K. Claffey]",Arctic,"A governing factor in the exchange of energy between the atmosphere, sea ice cover, and ocean is the thickness distribution of the ice cover. A complex series of dynamic and thermodynamic processes defines the thickness distribution. Key to the dynamic processes is the mechanical behavior of the ice cover, which described the relationship between stress and deformation. For additional documentation, start with the stress.htm file contained in the zip file html-metadata.zip.",2007-11-02T10:04:50Z,2017-06-21T18:05:37Z
doi:10.18739/A2MH32,Kathleen M Stafford,Passive acoustic data from A4 in the Bering Strait for September 2014,ambient noise hydrophone mooring,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.75 N latitude and 168.25 W longitude. Data were recorded from 10 Hz - 4096 Hz (8 kHz sample rate) the first 20 minutes of each hour from July 2014- July 2015.,2016-04-14T07:00:00Z,2017-01-22T20:01:04Z
doi:10.18739/A2G554,John Paden,"Focused synthetic aperture radar processing of echogram data with Multiple Signal Classification (MUSIC) antenna array processing, Greenland, June 27 - July 11, 2008",Radar depth sounder Echogram Ice thickness,"To better understand processes affecting the ice sheets and to supply boundary condition information into ice sheet models and ice thickness for other ice sheet analysis, the Center for Remote Sensing of Ice Sheets (CReSIS) has designed, developed, and deployed several multichannel radar depth sounders in Greenland. This dataset contains data collected mostly around outlet glaciers in Greenland, including a large grid at Jakobshavn, with the specific purpose of improving understanding in this dynamic and fast changing part of the ice sheet. This product uses focused synthetic aperture array (SAR) processing to improve resolution in along-track. The array processing technique used to combine the multiple channels is based on the Multiple Signal Classification (MUSIC) algorithm. The data product format is a Mathworks MATLAB file.  Files are named according to the format: Data{$image_id}_{$frame_id}.mat. The {$image_id} is a string which may be empty when it is a composite image or is of the form “img_II” where II is the 2-digit zero-padded image number always starting with 1 and incrementing from there. The frame ID is a concatenation of the segment ID and a frame number and follows the format YYYYMMDD_SS_FFF where FFF is the frame number from 000 to 999. For example, “Data_img_01_20080630_02_001.mat” contains data for image 01 from segment 02, frame 001, taken on 2008-06-30. More information can be found in “Readme.pdf”.",2017-08-28T07:00:00Z,2017-10-09T20:14:08Z
doi:10.18739/A2907M,Kathleen M Stafford,Passive acoustic data from Davis Strait - C1 14 of 17 (130415-1500-C1-12987.wav to 130527-0500-C1-13985.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CETACEANS EARTH SCIENCE > BIOLOGICAL CLASSIFICATION > ANIMALS/VERTEBRATES > MAMMALS > CARNIVORES > SEALS/SEA LIONS/WALRUSES IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT UNKNOWN HOURLY TO DAILY 1 MINUTE TO 1 HOUR biota oceans environment,Passive acoustic data from instruments on moorings across Davis Strait. The data for this instrument were collected at 66.7 N latitude and 60.8 W longitude. Data are recorded from 1 Hz - 2 kHz (5 kHz sample rate) the first 15 minutes of each hour from October 2011-September 2013.,2014-09-04T07:00:00Z,2016-09-17T07:44:04Z
doi:10.18739/A2KG4S,Jason Amundson,"LeConte Glacier GPS data, 2016-2017",glaciology tidewater glaciers LeConte Glacier,"In 2016-2017 we conducted a field study at LeConte Glacier, Alaska, to study the impacts of subglacial discharge on plume dynamics and submarine melting. As part of that study, two GPS receivers were deployed on the glacier to track glacier motion and a third GPS receiver was deployed on bedrock to serve as a base station.",2018-03-20T07:00:00Z,2018-04-10T22:27:05Z
urn:uuid:d720d3d0-34bc-4d36-9b27-e6589c3a961b,Sally MacIntyre,"Time series of water temperature, specific conductance, and oxygen from Lake E5, North Slope, Alaska",Earth Science > Physical Limnology > temperature Earth Science > Physical Limnology > specific conductance Earth Science > Physical Limnology > dissolved oxygen,"Lakes are especially numerous in the arctic region, extending over about one quarter of the territory.
                                            For approximately nine months of the year, the waters of arctic lakes are under ice.  Despite the duration of the 
                                            ice-covered period, few studies have addressed the limnology (biological, chemical, and physical features) of these
                                            lakes during their ice-covered period.  However, under ice circulation affects the background hydrodynamic state of lakes
                                            during the summer.  We aim to look at the full year cycle lake circulation in order to quantify the effects of hydrodynamics
                                            on nutrient and gas fluxes and place the results within the context of climate change in the Arctic.  In this study, we propose to 
                                            carry out several goals:  (1) to quantify physical controls on under ice thermal structure and circulation, mixing of snow melt 
                                            waters and mixing during spring and fall  (2) to quantify respiration rates in arctic lakes of differing morphology and geological 
                                            substrates  (3) to illustrate the linkages and feedbacks between these physical and biogeochemical processes.  The proposed research
                                            will be carried out in lakes being studied by the Artic Long Term Ecological Research (LTER).  The selected lakes are: Toolik Lake, 
                                            Lake E1, Lake E5, Lake E6 and Lake N2.  The Lakes range in size from 1 to 1500 hectares.  We measured time series of water temperatures,
                                            specific conductance and dissolved oxygen at several depths from a taut-line moored chain of loggers in different seasons (summer
                                            and winter) and across multiple years.",2017-10-09T07:00:00Z,2018-03-07T20:04:31Z
doi:10.18739/A21676,Kathleen M Stafford,Passive acoustic data from A2 in the Bering Strait for August 2014,ambient noise hydrophone mooring,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.78 N latitude and 168.568 W longitude. Data were recorded from 10 Hz - 4096 Hz (8 kHz sample rate) the first 20 minutes of each hour from July 2014- July 2015.,2016-04-14T07:00:00Z,2017-02-24T00:44:58Z
urn:uuid:d2775281-3231-47d0-ab79-b2e506ea8d04,Andreas Muenchow,"Acoustic sensor networks for ice-covered seas, Wolstenholme Fjord, Greenland, 2017",Physical Oceanography Ocean Acoustic Communication,"This Integrated National Science Foundation (NSF) Support Promoting Interdisciplinary Research and Education (INSPIRE) award is partially funded by the Arctic Natural Sciences Program in the Division of Polar Programs in the Directorate for Geosciences, the Communications, Circuits and Sensing Systems Program in the Division of Electrical, Communications and Cyber Systems in the Directorate for Engineering ,and the Division of Computer and network Systems in the Directorate for Computer and Information Science and Engineering.  The Principal Investigators (PIs) propose to design and develop an integrated underwater acoustic sensor network for ice-covered seas. It will transmit data wirelessly through acoustic waves from sub-surface ocean sensors to a receiving array with a surface connection to satellites and the Internet. The PIs will expand the limits and capabilities of underwater communication networks in the transition zone where sea ice changes from 1) smooth land-fast ice to 2) ridged mobile ice to 3) open water. This transition zone evolves in both time and space within the 30-50 km foot-print of the proposed networked sensor and communication network array. This goal requires integration of both existing knowledge from a set of diverse disciplines and intellectual innovations within each discipline. It will modify underwater communication network theory, coastal acoustic propagation and scattering, and experimental design of oceanography. Providing long-term, long-range acoustic connectivity, the PI team will address three major new research challenges: 1) Mid-frequency (1-5 kHz), mid-range (10 km) acoustic wave propagation in the transition zone; 2) Data telemetry in the new communication environment; and 3) Resilient sensor networks that cope with and harness complex dynamics of the transition zone. The multi-disciplinary team will implement reliable modem hardware, integrate it with resilient network protocol, and optimize the system design for Arctic deployment to support an ocean experiment off Thule, Greenland.  The sensor and communication network will support 1) long-term, intelligent distributed Arctic observing systems, 2) assimilation of remote-sensing and in-situ under-ice measurements, and 3) regional and global climate modeling with real-time measurements. Such a network holds the promise to revolutionize under-ice ocean sampling in polar regions. Data will be broadly disseminated via the web and archived for public access. Planned outreach includes participation in the field program of Greenlandic residents from the Inupiat village of Qaanaaq and meaningful classroom involvement from the elementary to community college levels. The PIs are also committed to outreach through their global print, radio, television, and electronic media contacts.",2019-01-01T08:00:00Z,2019-04-12T18:45:09Z
doi:10.18739/A2265R,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait 3 of 17 (121123_060000_AU_BS03.wav to 130103_200000_AU_BS03.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 66.76 N latitude and 168.95 W longitude. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013 and July 2013-July 2014,2014-10-07T07:00:00Z,2016-09-20T22:11:12Z
